"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA CONSUMPTION","06 Feb 2018","57.33","5.75","0.86"
"NIFTY INDIA CONSUMPTION","05 Feb 2018","58.25","5.84","0.84"
"NIFTY INDIA CONSUMPTION","02 Feb 2018","58.35","5.84","0.84"
"NIFTY INDIA CONSUMPTION","01 Feb 2018","59.92","5.99","0.82"
"NIFTY INDIA CONSUMPTION","31 Jan 2018","59.29","5.95","0.83"
"NIFTY INDIA CONSUMPTION","30 Jan 2018","59.88","6.01","0.82"
"NIFTY INDIA CONSUMPTION","29 Jan 2018","60.12","6.03","0.82"
"NIFTY INDIA CONSUMPTION","25 Jan 2018","58.41","6.00","0.82"
"NIFTY INDIA CONSUMPTION","24 Jan 2018","58.90","6.05","0.81"
"NIFTY INDIA CONSUMPTION","23 Jan 2018","59.71","6.10","0.81"
"NIFTY INDIA CONSUMPTION","22 Jan 2018","59.80","6.07","0.81"
"NIFTY INDIA CONSUMPTION","19 Jan 2018","59.68","6.06","0.81"
"NIFTY INDIA CONSUMPTION","18 Jan 2018","59.65","6.04","0.82"
"NIFTY INDIA CONSUMPTION","17 Jan 2018","59.60","6.03","0.82"
"NIFTY INDIA CONSUMPTION","16 Jan 2018","59.57","6.03","0.82"
"NIFTY INDIA CONSUMPTION","15 Jan 2018","60.14","6.09","0.81"
"NIFTY INDIA CONSUMPTION","12 Jan 2018","60.50","6.07","0.81"
"NIFTY INDIA CONSUMPTION","11 Jan 2018","60.57","6.08","0.81"
"NIFTY INDIA CONSUMPTION","10 Jan 2018","60.41","6.06","0.81"
"NIFTY INDIA CONSUMPTION","09 Jan 2018","60.67","6.09","0.81"
"NIFTY INDIA CONSUMPTION","08 Jan 2018","60.86","6.11","0.80"
"NIFTY INDIA CONSUMPTION","05 Jan 2018","60.84","6.11","0.80"
"NIFTY INDIA CONSUMPTION","04 Jan 2018","60.15","6.04","0.81"
"NIFTY INDIA CONSUMPTION","03 Jan 2018","59.83","6.01","0.82"
"NIFTY INDIA CONSUMPTION","02 Jan 2018","59.72","5.99","0.82"
"NIFTY INDIA CONSUMPTION","01 Jan 2018","60.02","6.02","0.81"
"NIFTY INDIA CONSUMPTION","29 Dec 2017","60.43","6.07","0.81"
"NIFTY INDIA CONSUMPTION","28 Dec 2017","60.38","5.99","0.79"
"NIFTY INDIA CONSUMPTION","27 Dec 2017","60.47","6.00","0.79"
"NIFTY INDIA CONSUMPTION","26 Dec 2017","60.63","6.01","0.79"
"NIFTY INDIA CONSUMPTION","22 Dec 2017","60.43","5.99","0.79"
"NIFTY INDIA CONSUMPTION","21 Dec 2017","60.23","5.97","0.80"
"NIFTY INDIA CONSUMPTION","20 Dec 2017","60.45","6.00","0.79"
"NIFTY INDIA CONSUMPTION","19 Dec 2017","60.54","6.00","0.79"
"NIFTY INDIA CONSUMPTION","18 Dec 2017","59.35","5.89","0.81"
"NIFTY INDIA CONSUMPTION","15 Dec 2017","58.78","5.83","0.82"
"NIFTY INDIA CONSUMPTION","14 Dec 2017","58.38","5.79","0.82"
"NIFTY INDIA CONSUMPTION","13 Dec 2017","58.11","5.76","0.83"
"NIFTY INDIA CONSUMPTION","12 Dec 2017","58.44","5.80","0.82"
"NIFTY INDIA CONSUMPTION","11 Dec 2017","58.96","5.85","0.81"
"NIFTY INDIA CONSUMPTION","08 Dec 2017","58.56","5.81","0.82"
"NIFTY INDIA CONSUMPTION","07 Dec 2017","57.94","5.75","0.83"
"NIFTY INDIA CONSUMPTION","06 Dec 2017","56.71","5.62","0.85"
"NIFTY INDIA CONSUMPTION","05 Dec 2017","56.93","5.65","0.84"
"NIFTY INDIA CONSUMPTION","04 Dec 2017","57.04","5.66","0.84"
"NIFTY INDIA CONSUMPTION","01 Dec 2017","57.04","5.66","0.84"
"NIFTY INDIA CONSUMPTION","30 Nov 2017","57.58","5.71","0.83"
"NIFTY INDIA CONSUMPTION","29 Nov 2017","57.98","5.74","0.83"
"NIFTY INDIA CONSUMPTION","28 Nov 2017","58.00","5.75","0.83"
"NIFTY INDIA CONSUMPTION","27 Nov 2017","57.87","5.73","0.83"
"NIFTY INDIA CONSUMPTION","24 Nov 2017","57.77","5.72","0.83"
"NIFTY INDIA CONSUMPTION","23 Nov 2017","57.44","5.69","0.83"
"NIFTY INDIA CONSUMPTION","22 Nov 2017","57.53","5.70","0.83"
"NIFTY INDIA CONSUMPTION","21 Nov 2017","56.70","5.68","0.84"
"NIFTY INDIA CONSUMPTION","20 Nov 2017","56.47","5.66","0.84"
"NIFTY INDIA CONSUMPTION","17 Nov 2017","56.31","5.64","0.84"
"NIFTY INDIA CONSUMPTION","16 Nov 2017","56.00","5.61","0.85"
"NIFTY INDIA CONSUMPTION","15 Nov 2017","55.58","5.57","0.85"
"NIFTY INDIA CONSUMPTION","14 Nov 2017","56.00","5.61","0.85"
"NIFTY INDIA CONSUMPTION","13 Nov 2017","55.96","5.61","0.85"
"NIFTY INDIA CONSUMPTION","10 Nov 2017","56.40","5.64","0.84"
"NIFTY INDIA CONSUMPTION","09 Nov 2017","56.33","5.62","0.85"
"NIFTY INDIA CONSUMPTION","08 Nov 2017","55.89","5.57","0.85"
"NIFTY INDIA CONSUMPTION","07 Nov 2017","56.02","5.58","0.85"
"NIFTY INDIA CONSUMPTION","06 Nov 2017","56.58","5.64","0.84"
"NIFTY INDIA CONSUMPTION","03 Nov 2017","55.25","5.60","0.85"
"NIFTY INDIA CONSUMPTION","02 Nov 2017","52.19","5.61","0.85"
"NIFTY INDIA CONSUMPTION","01 Nov 2017","52.31","5.62","0.85"
"NIFTY INDIA CONSUMPTION","31 Oct 2017","51.63","5.55","0.86"
"NIFTY INDIA CONSUMPTION","30 Oct 2017","53.70","5.58","0.86"
"NIFTY INDIA CONSUMPTION","27 Oct 2017","53.51","5.56","0.86"
"NIFTY INDIA CONSUMPTION","26 Oct 2017","53.61","5.55","0.86"
"NIFTY INDIA CONSUMPTION","25 Oct 2017","53.63","5.54","0.87"
"NIFTY INDIA CONSUMPTION","24 Oct 2017","53.44","5.52","0.87"
"NIFTY INDIA CONSUMPTION","23 Oct 2017","53.15","5.49","0.87"
"NIFTY INDIA CONSUMPTION","19 Oct 2017","52.85","5.46","0.88"
"NIFTY INDIA CONSUMPTION","18 Oct 2017","52.90","5.46","0.88"
"NIFTY INDIA CONSUMPTION","17 Oct 2017","53.11","5.48","0.87"
"NIFTY INDIA CONSUMPTION","16 Oct 2017","52.87","5.46","0.88"
"NIFTY INDIA CONSUMPTION","13 Oct 2017","52.26","5.52","0.89"
"NIFTY INDIA CONSUMPTION","12 Oct 2017","51.97","5.49","0.90"
"NIFTY INDIA CONSUMPTION","11 Oct 2017","51.48","5.44","0.90"
"NIFTY INDIA CONSUMPTION","10 Oct 2017","51.41","5.43","0.91"
"NIFTY INDIA CONSUMPTION","09 Oct 2017","51.34","5.42","0.91"
"NIFTY INDIA CONSUMPTION","06 Oct 2017","51.18","5.40","0.91"
"NIFTY INDIA CONSUMPTION","05 Oct 2017","50.97","5.60","0.92"
"NIFTY INDIA CONSUMPTION","04 Oct 2017","51.25","5.61","0.92"
"NIFTY INDIA CONSUMPTION","03 Oct 2017","51.06","5.57","0.92"
"NIFTY INDIA CONSUMPTION","29 Sep 2017","50.70","5.53","0.93"
"NIFTY INDIA CONSUMPTION","28 Sep 2017","54.44","5.16","0.92"
"NIFTY INDIA CONSUMPTION","27 Sep 2017","54.44","5.16","0.92"
"NIFTY INDIA CONSUMPTION","26 Sep 2017","55.09","5.23","0.91"
"NIFTY INDIA CONSUMPTION","25 Sep 2017","55.46","5.26","0.90"
"NIFTY INDIA CONSUMPTION","22 Sep 2017","55.85","5.30","0.90"
"NIFTY INDIA CONSUMPTION","21 Sep 2017","56.68","5.38","0.88"
"NIFTY INDIA CONSUMPTION","20 Sep 2017","56.93","5.40","0.88"
"NIFTY INDIA CONSUMPTION","19 Sep 2017","57.23","5.43","0.88"
"NIFTY INDIA CONSUMPTION","18 Sep 2017","57.26","5.43","0.88"
"NIFTY INDIA CONSUMPTION","15 Sep 2017","56.66","5.37","0.88"
"NIFTY INDIA CONSUMPTION","14 Sep 2017","56.65","5.37","0.88"
"NIFTY INDIA CONSUMPTION","13 Sep 2017","56.84","5.39","0.88"
"NIFTY INDIA CONSUMPTION","12 Sep 2017","56.98","5.41","0.88"
"NIFTY INDIA CONSUMPTION","11 Sep 2017","56.45","5.35","0.89"
"NIFTY INDIA CONSUMPTION","08 Sep 2017","56.03","5.31","0.89"
"NIFTY INDIA CONSUMPTION","07 Sep 2017","56.16","5.47","0.90"
"NIFTY INDIA CONSUMPTION","06 Sep 2017","56.03","5.46","0.91"
"NIFTY INDIA CONSUMPTION","05 Sep 2017","56.34","5.49","0.90"
"NIFTY INDIA CONSUMPTION","04 Sep 2017","56.23","5.48","0.90"
"NIFTY INDIA CONSUMPTION","01 Sep 2017","56.63","5.52","0.90"
"NIFTY INDIA CONSUMPTION","31 Aug 2017","54.62","5.48","0.90"
"NIFTY INDIA CONSUMPTION","30 Aug 2017","54.29","5.44","0.91"
"NIFTY INDIA CONSUMPTION","29 Aug 2017","53.94","5.41","0.92"
"NIFTY INDIA CONSUMPTION","28 Aug 2017","54.38","5.45","0.91"
"NIFTY INDIA CONSUMPTION","24 Aug 2017","53.95","5.41","0.92"
"NIFTY INDIA CONSUMPTION","23 Aug 2017","53.34","5.49","1.00"
"NIFTY INDIA CONSUMPTION","22 Aug 2017","53.17","5.48","1.01"
"NIFTY INDIA CONSUMPTION","21 Aug 2017","53.32","5.49","1.00"
"NIFTY INDIA CONSUMPTION","18 Aug 2017","53.65","5.53","1.00"
"NIFTY INDIA CONSUMPTION","17 Aug 2017","53.48","5.51","1.00"
"NIFTY INDIA CONSUMPTION","16 Aug 2017","53.62","5.53","1.00"
"NIFTY INDIA CONSUMPTION","14 Aug 2017","53.00","5.46","1.01"
"NIFTY INDIA CONSUMPTION","11 Aug 2017","52.31","5.39","1.02"
"NIFTY INDIA CONSUMPTION","10 Aug 2017","52.95","5.47","1.02"
"NIFTY INDIA CONSUMPTION","09 Aug 2017","53.77","5.53","1.01"
"NIFTY INDIA CONSUMPTION","08 Aug 2017","54.29","5.57","1.00"
"NIFTY INDIA CONSUMPTION","07 Aug 2017","54.68","5.61","0.99"
"NIFTY INDIA CONSUMPTION","04 Aug 2017","53.03","5.60","0.99"
"NIFTY INDIA CONSUMPTION","03 Aug 2017","53.31","5.55","1.00"
"NIFTY INDIA CONSUMPTION","02 Aug 2017","53.20","5.53","1.01"
"NIFTY INDIA CONSUMPTION","01 Aug 2017","53.52","5.56","1.00"
"NIFTY INDIA CONSUMPTION","31 Jul 2017","52.01","5.54","1.01"
"NIFTY INDIA CONSUMPTION","28 Jul 2017","51.95","5.53","1.01"
"NIFTY INDIA CONSUMPTION","27 Jul 2017","51.99","5.54","1.01"
"NIFTY INDIA CONSUMPTION","26 Jul 2017","52.05","5.54","1.01"
"NIFTY INDIA CONSUMPTION","25 Jul 2017","51.92","5.53","1.01"
"NIFTY INDIA CONSUMPTION","24 Jul 2017","51.94","5.53","1.01"
"NIFTY INDIA CONSUMPTION","21 Jul 2017","51.72","5.51","1.01"
"NIFTY INDIA CONSUMPTION","20 Jul 2017","51.69","5.50","1.01"
"NIFTY INDIA CONSUMPTION","19 Jul 2017","51.92","5.53","1.01"
"NIFTY INDIA CONSUMPTION","18 Jul 2017","51.43","5.60","0.98"
"NIFTY INDIA CONSUMPTION","17 Jul 2017","52.06","5.67","0.97"
"NIFTY INDIA CONSUMPTION","14 Jul 2017","52.11","5.67","0.97"
"NIFTY INDIA CONSUMPTION","13 Jul 2017","52.07","5.67","0.97"
"NIFTY INDIA CONSUMPTION","12 Jul 2017","51.65","5.63","0.98"
"NIFTY INDIA CONSUMPTION","11 Jul 2017","51.52","5.61","0.98"
"NIFTY INDIA CONSUMPTION","10 Jul 2017","51.56","5.62","0.98"
"NIFTY INDIA CONSUMPTION","07 Jul 2017","51.22","5.58","0.99"
"NIFTY INDIA CONSUMPTION","06 Jul 2017","51.34","5.59","0.99"
"NIFTY INDIA CONSUMPTION","05 Jul 2017","51.20","5.58","0.99"
"NIFTY INDIA CONSUMPTION","04 Jul 2017","51.03","5.56","0.99"
"NIFTY INDIA CONSUMPTION","03 Jul 2017","51.32","5.59","0.99"
"NIFTY INDIA CONSUMPTION","30 Jun 2017","50.43","5.49","1.00"
"NIFTY INDIA CONSUMPTION","29 Jun 2017","50.14","5.46","1.01"
"NIFTY INDIA CONSUMPTION","28 Jun 2017","49.98","5.44","1.01"
"NIFTY INDIA CONSUMPTION","27 Jun 2017","50.15","5.46","1.01"
"NIFTY INDIA CONSUMPTION","23 Jun 2017","50.27","5.48","1.01"
"NIFTY INDIA CONSUMPTION","22 Jun 2017","50.59","5.51","1.00"
"NIFTY INDIA CONSUMPTION","21 Jun 2017","50.68","5.52","1.00"
"NIFTY INDIA CONSUMPTION","20 Jun 2017","50.40","5.49","1.01"
"NIFTY INDIA CONSUMPTION","19 Jun 2017","50.39","5.49","1.00"
"NIFTY INDIA CONSUMPTION","16 Jun 2017","48.06","5.47","1.01"
"NIFTY INDIA CONSUMPTION","15 Jun 2017","48.07","5.47","1.01"
"NIFTY INDIA CONSUMPTION","14 Jun 2017","48.17","5.50","1.00"
"NIFTY INDIA CONSUMPTION","13 Jun 2017","48.20","5.50","1.00"
"NIFTY INDIA CONSUMPTION","12 Jun 2017","47.64","5.51","1.00"
"NIFTY INDIA CONSUMPTION","09 Jun 2017","47.87","5.53","1.00"
"NIFTY INDIA CONSUMPTION","08 Jun 2017","47.95","5.52","1.00"
"NIFTY INDIA CONSUMPTION","07 Jun 2017","48.21","5.54","1.00"
"NIFTY INDIA CONSUMPTION","06 Jun 2017","47.81","5.50","1.00"
"NIFTY INDIA CONSUMPTION","05 Jun 2017","48.25","5.55","0.99"
"NIFTY INDIA CONSUMPTION","02 Jun 2017","47.86","5.50","1.00"
"NIFTY INDIA CONSUMPTION","01 Jun 2017","47.60","5.47","1.01"
"NIFTY INDIA CONSUMPTION","31 May 2017","47.25","5.44","1.01"
"NIFTY INDIA CONSUMPTION","30 May 2017","46.97","5.41","1.02"
"NIFTY INDIA CONSUMPTION","29 May 2017","46.88","5.40","1.02"
"NIFTY INDIA CONSUMPTION","26 May 2017","45.83","5.36","1.03"
"NIFTY INDIA CONSUMPTION","25 May 2017","45.27","5.34","1.04"
"NIFTY INDIA CONSUMPTION","24 May 2017","44.83","5.29","1.05"
"NIFTY INDIA CONSUMPTION","23 May 2017","45.23","5.33","1.04"
"NIFTY INDIA CONSUMPTION","22 May 2017","45.46","5.36","1.03"
"NIFTY INDIA CONSUMPTION","19 May 2017","45.31","5.34","1.04"
"NIFTY INDIA CONSUMPTION","18 May 2017","45.27","5.34","1.04"
"NIFTY INDIA CONSUMPTION","17 May 2017","46.70","5.43","1.02"
"NIFTY INDIA CONSUMPTION","16 May 2017","34.62","5.43","1.02"
"NIFTY INDIA CONSUMPTION","15 May 2017","34.34","5.38","1.03"
"NIFTY INDIA CONSUMPTION","12 May 2017","34.25","5.37","1.03"
"NIFTY INDIA CONSUMPTION","11 May 2017","34.36","5.38","1.03"
"NIFTY INDIA CONSUMPTION","10 May 2017","34.07","5.34","1.04"
"NIFTY INDIA CONSUMPTION","09 May 2017","33.32","5.22","1.06"
"NIFTY INDIA CONSUMPTION","08 May 2017","33.34","5.22","1.06"
"NIFTY INDIA CONSUMPTION","05 May 2017","33.27","5.21","1.06"
"NIFTY INDIA CONSUMPTION","04 May 2017","33.56","5.26","1.05"
"NIFTY INDIA CONSUMPTION","03 May 2017","33.41","5.23","1.06"
"NIFTY INDIA CONSUMPTION","02 May 2017","33.45","5.24","1.06"
"NIFTY INDIA CONSUMPTION","28 Apr 2017","33.31","5.22","1.06"
"NIFTY INDIA CONSUMPTION","27 Apr 2017","33.34","5.22","1.06"
"NIFTY INDIA CONSUMPTION","26 Apr 2017","33.47","5.24","1.06"
"NIFTY INDIA CONSUMPTION","25 Apr 2017","33.08","5.18","1.07"
"NIFTY INDIA CONSUMPTION","24 Apr 2017","32.53","5.10","1.09"
"NIFTY INDIA CONSUMPTION","21 Apr 2017","32.36","5.07","1.09"
"NIFTY INDIA CONSUMPTION","20 Apr 2017","32.50","5.09","1.09"
"NIFTY INDIA CONSUMPTION","19 Apr 2017","32.24","5.05","1.10"
"NIFTY INDIA CONSUMPTION","18 Apr 2017","32.15","5.04","1.10"
"NIFTY INDIA CONSUMPTION","17 Apr 2017","32.34","5.07","1.09"
"NIFTY INDIA CONSUMPTION","13 Apr 2017","32.42","5.08","1.09"
"NIFTY INDIA CONSUMPTION","12 Apr 2017","32.60","5.11","1.08"
"NIFTY INDIA CONSUMPTION","11 Apr 2017","32.67","5.12","1.08"
"NIFTY INDIA CONSUMPTION","10 Apr 2017","32.55","5.10","1.08"
"NIFTY INDIA CONSUMPTION","07 Apr 2017","32.57","5.10","1.08"
"NIFTY INDIA CONSUMPTION","06 Apr 2017","32.64","5.12","1.08"
"NIFTY INDIA CONSUMPTION","05 Apr 2017","32.74","5.13","1.08"
"NIFTY INDIA CONSUMPTION","03 Apr 2017","32.44","5.08","1.09"
"NIFTY INDIA CONSUMPTION","31 Mar 2017","32.43","5.08","1.09"
"NIFTY INDIA CONSUMPTION","30 Mar 2017","32.44","5.08","1.09"
"NIFTY INDIA CONSUMPTION","29 Mar 2017","32.35","5.07","1.09"
"NIFTY INDIA CONSUMPTION","28 Mar 2017","32.27","5.06","1.09"
"NIFTY INDIA CONSUMPTION","27 Mar 2017","32.08","5.03","1.10"
"NIFTY INDIA CONSUMPTION","24 Mar 2017","32.26","5.05","1.09"
"NIFTY INDIA CONSUMPTION","23 Mar 2017","32.29","5.06","1.09"
"NIFTY INDIA CONSUMPTION","22 Mar 2017","32.18","5.04","1.10"
"NIFTY INDIA CONSUMPTION","21 Mar 2017","32.62","5.11","1.08"
"NIFTY INDIA CONSUMPTION","20 Mar 2017","32.64","5.11","1.08"
"NIFTY INDIA CONSUMPTION","17 Mar 2017","32.71","5.12","1.08"
"NIFTY INDIA CONSUMPTION","16 Mar 2017","32.73","5.13","1.08"
"NIFTY INDIA CONSUMPTION","15 Mar 2017","32.56","5.10","1.08"
"NIFTY INDIA CONSUMPTION","14 Mar 2017","32.41","5.08","1.09"
"NIFTY INDIA CONSUMPTION","10 Mar 2017","31.86","4.99","1.11"
"NIFTY INDIA CONSUMPTION","09 Mar 2017","31.84","4.99","1.11"
"NIFTY INDIA CONSUMPTION","08 Mar 2017","31.76","4.98","1.11"
"NIFTY INDIA CONSUMPTION","07 Mar 2017","31.88","5.00","1.11"
"NIFTY INDIA CONSUMPTION","06 Mar 2017","31.94","5.01","1.11"
"NIFTY INDIA CONSUMPTION","03 Mar 2017","31.73","4.97","1.11"
"NIFTY INDIA CONSUMPTION","02 Mar 2017","31.77","4.98","1.11"
"NIFTY INDIA CONSUMPTION","01 Mar 2017","31.97","5.01","1.10"
"NIFTY INDIA CONSUMPTION","28 Feb 2017","31.77","4.98","1.11"
"NIFTY INDIA CONSUMPTION","27 Feb 2017","31.98","4.96","1.12"
"NIFTY INDIA CONSUMPTION","23 Feb 2017","32.16","5.01","1.11"
"NIFTY INDIA CONSUMPTION","22 Feb 2017","32.21","5.01","1.11"
"NIFTY INDIA CONSUMPTION","21 Feb 2017","32.19","5.01","1.11"
"NIFTY INDIA CONSUMPTION","20 Feb 2017","32.11","5.00","1.11"
"NIFTY INDIA CONSUMPTION","17 Feb 2017","31.30","4.96","1.12"
"NIFTY INDIA CONSUMPTION","16 Feb 2017","31.29","4.96","1.12"
"NIFTY INDIA CONSUMPTION","15 Feb 2017","31.15","4.94","1.12"
"NIFTY INDIA CONSUMPTION","14 Feb 2017","31.33","4.97","1.12"
"NIFTY INDIA CONSUMPTION","13 Feb 2017","31.39","4.98","1.12"
"NIFTY INDIA CONSUMPTION","10 Feb 2017","31.75","4.99","1.11"
"NIFTY INDIA CONSUMPTION","09 Feb 2017","31.81","5.00","1.11"
"NIFTY INDIA CONSUMPTION","08 Feb 2017","31.67","4.98","1.12"
"NIFTY INDIA CONSUMPTION","07 Feb 2017","31.58","4.97","1.12"
"NIFTY INDIA CONSUMPTION","06 Feb 2017","31.61","4.98","1.12"
"NIFTY INDIA CONSUMPTION","03 Feb 2017","31.36","4.93","1.13"
"NIFTY INDIA CONSUMPTION","02 Feb 2017","31.40","4.93","1.13"
"NIFTY INDIA CONSUMPTION","01 Feb 2017","31.48","4.94","1.12"
"NIFTY INDIA CONSUMPTION","31 Jan 2017","30.76","4.83","1.15"
"NIFTY INDIA CONSUMPTION","30 Jan 2017","30.18","4.83","1.15"
"NIFTY INDIA CONSUMPTION","27 Jan 2017","29.96","4.79","1.16"
"NIFTY INDIA CONSUMPTION","25 Jan 2017","30.37","4.79","1.16"
"NIFTY INDIA CONSUMPTION","24 Jan 2017","30.01","4.73","1.17"
"NIFTY INDIA CONSUMPTION","23 Jan 2017","29.78","4.69","1.18"
"NIFTY INDIA CONSUMPTION","20 Jan 2017","29.64","4.66","1.19"
"NIFTY INDIA CONSUMPTION","19 Jan 2017","29.82","4.69","1.18"
"NIFTY INDIA CONSUMPTION","18 Jan 2017","29.74","4.68","1.19"
"NIFTY INDIA CONSUMPTION","17 Jan 2017","29.65","4.66","1.19"
"NIFTY INDIA CONSUMPTION","16 Jan 2017","29.48","4.64","1.20"
"NIFTY INDIA CONSUMPTION","13 Jan 2017","29.47","4.63","1.20"
"NIFTY INDIA CONSUMPTION","12 Jan 2017","29.51","4.64","1.20"
"NIFTY INDIA CONSUMPTION","11 Jan 2017","29.62","4.66","1.19"
"NIFTY INDIA CONSUMPTION","10 Jan 2017","29.54","4.62","1.20"
"NIFTY INDIA CONSUMPTION","09 Jan 2017","29.33","4.59","1.21"
"NIFTY INDIA CONSUMPTION","06 Jan 2017","29.37","4.60","1.21"
"NIFTY INDIA CONSUMPTION","05 Jan 2017","29.49","4.62","1.20"
"NIFTY INDIA CONSUMPTION","04 Jan 2017","29.14","4.56","1.22"
"NIFTY INDIA CONSUMPTION","03 Jan 2017","28.94","4.53","1.23"
"NIFTY INDIA CONSUMPTION","02 Jan 2017","28.88","4.52","1.23"
"NIFTY INDIA CONSUMPTION","30 Dec 2016","28.67","4.49","1.24"
"NIFTY INDIA CONSUMPTION","29 Dec 2016","28.39","4.44","1.25"
"NIFTY INDIA CONSUMPTION","28 Dec 2016","28.11","4.40","1.26"
"NIFTY INDIA CONSUMPTION","27 Dec 2016","28.01","4.39","1.27"
"NIFTY INDIA CONSUMPTION","26 Dec 2016","27.62","4.32","1.29"
"NIFTY INDIA CONSUMPTION","23 Dec 2016","27.82","4.36","1.28"
"NIFTY INDIA CONSUMPTION","22 Dec 2016","27.77","4.35","1.28"
"NIFTY INDIA CONSUMPTION","21 Dec 2016","27.93","4.39","1.27"
"NIFTY INDIA CONSUMPTION","20 Dec 2016","28.04","4.40","1.26"
"NIFTY INDIA CONSUMPTION","19 Dec 2016","28.19","4.43","1.26"
"NIFTY INDIA CONSUMPTION","16 Dec 2016","28.35","4.46","1.25"
"NIFTY INDIA CONSUMPTION","15 Dec 2016","28.51","4.48","1.24"
"NIFTY INDIA CONSUMPTION","14 Dec 2016","28.61","4.49","1.24"
"NIFTY INDIA CONSUMPTION","13 Dec 2016","28.75","4.51","1.23"
"NIFTY INDIA CONSUMPTION","12 Dec 2016","28.69","4.50","1.23"
"NIFTY INDIA CONSUMPTION","09 Dec 2016","29.18","4.58","1.21"
"NIFTY INDIA CONSUMPTION","08 Dec 2016","29.20","4.58","1.21"
"NIFTY INDIA CONSUMPTION","07 Dec 2016","28.72","4.50","1.24"
"NIFTY INDIA CONSUMPTION","06 Dec 2016","28.76","4.51","1.23"
"NIFTY INDIA CONSUMPTION","05 Dec 2016","28.91","4.53","1.23"
"NIFTY INDIA CONSUMPTION","02 Dec 2016","28.57","4.45","1.25"
"NIFTY INDIA CONSUMPTION","01 Dec 2016","29.05","4.53","1.23"
"NIFTY INDIA CONSUMPTION","30 Nov 2016","29.20","4.56","1.22"
"NIFTY INDIA CONSUMPTION","29 Nov 2016","28.93","4.51","1.23"
"NIFTY INDIA CONSUMPTION","28 Nov 2016","28.56","4.46","1.25"
"NIFTY INDIA CONSUMPTION","25 Nov 2016","28.24","4.41","1.26"
"NIFTY INDIA CONSUMPTION","24 Nov 2016","28.08","4.39","1.27"
"NIFTY INDIA CONSUMPTION","23 Nov 2016","28.26","4.42","1.27"
"NIFTY INDIA CONSUMPTION","22 Nov 2016","28.13","4.40","1.27"
"NIFTY INDIA CONSUMPTION","21 Nov 2016","27.65","4.32","1.29"
"NIFTY INDIA CONSUMPTION","18 Nov 2016","28.20","4.40","1.27"
"NIFTY INDIA CONSUMPTION","17 Nov 2016","28.40","4.40","1.27"
"NIFTY INDIA CONSUMPTION","16 Nov 2016","28.72","4.45","1.26"
"NIFTY INDIA CONSUMPTION","15 Nov 2016","28.39","4.40","1.27"
"NIFTY INDIA CONSUMPTION","11 Nov 2016","29.18","4.55","1.23"
"NIFTY INDIA CONSUMPTION","10 Nov 2016","30.44","4.74","1.18"
"NIFTY INDIA CONSUMPTION","09 Nov 2016","30.59","4.75","1.18"
"NIFTY INDIA CONSUMPTION","08 Nov 2016","31.38","4.88","1.15"
"NIFTY INDIA CONSUMPTION","07 Nov 2016","30.95","4.87","1.15"
"NIFTY INDIA CONSUMPTION","04 Nov 2016","31.77","4.85","1.15"
"NIFTY INDIA CONSUMPTION","03 Nov 2016","32.37","4.86","1.15"
"NIFTY INDIA CONSUMPTION","02 Nov 2016","32.48","4.87","1.15"
"NIFTY INDIA CONSUMPTION","01 Nov 2016","32.70","4.91","1.14"
"NIFTY INDIA CONSUMPTION","30 Oct 2016","32.80","4.92","1.14"
"NIFTY INDIA CONSUMPTION","28 Oct 2016","32.77","4.92","1.14"
"NIFTY INDIA CONSUMPTION","27 Oct 2016","32.59","4.89","1.14"
"NIFTY INDIA CONSUMPTION","26 Oct 2016","32.95","4.93","1.13"
"NIFTY INDIA CONSUMPTION","25 Oct 2016","32.77","4.92","1.14"
"NIFTY INDIA CONSUMPTION","24 Oct 2016","32.86","4.93","1.13"
"NIFTY INDIA CONSUMPTION","21 Oct 2016","32.90","4.95","1.13"
"NIFTY INDIA CONSUMPTION","20 Oct 2016","32.73","4.93","1.13"
"NIFTY INDIA CONSUMPTION","19 Oct 2016","32.72","4.92","1.14"
"NIFTY INDIA CONSUMPTION","18 Oct 2016","32.85","4.95","1.13"
"NIFTY INDIA CONSUMPTION","17 Oct 2016","32.48","4.89","1.14"
"NIFTY INDIA CONSUMPTION","14 Oct 2016","33.05","4.96","1.13"
"NIFTY INDIA CONSUMPTION","13 Oct 2016","33.26","4.99","1.12"
"NIFTY INDIA CONSUMPTION","10 Oct 2016","33.72","5.05","1.11"
"NIFTY INDIA CONSUMPTION","07 Oct 2016","33.51","5.04","1.11"
"NIFTY INDIA CONSUMPTION","06 Oct 2016","33.57","5.05","1.11"
"NIFTY INDIA CONSUMPTION","05 Oct 2016","33.62","5.06","1.10"
"NIFTY INDIA CONSUMPTION","04 Oct 2016","33.87","5.07","1.10"
"NIFTY INDIA CONSUMPTION","03 Oct 2016","33.48","5.07","1.10"
"NIFTY INDIA CONSUMPTION","30 Sep 2016","32.81","4.96","1.13"
"NIFTY INDIA CONSUMPTION","29 Sep 2016","32.38","4.96","1.12"
"NIFTY INDIA CONSUMPTION","28 Sep 2016","33.06","5.06","1.10"
"NIFTY INDIA CONSUMPTION","27 Sep 2016","32.94","5.03","1.11"
"NIFTY INDIA CONSUMPTION","26 Sep 2016","33.00","5.08","1.08"
